id,provincia,cantmiem,cantping,reldep,ingtoth,ingpch,gastot,gastotpc,gc_01,gc_02,gc_03,gc_04,gc_05,gc_06,gc_07,gc_08,gc_09,gc_10,gc_11,gc_12
601917325,2,4,2,2.0,23059.3333333333,5764.83333333333,29935.917,7483.97925,6492.835,562.9,1900.0,7817.56,3760.79,176.664,1063.448,3135.0,3797.0,0.0,1056.52,173.2
14402374,2,5,3,1.67,15291.3333333333,3058.26666666667,24903.5336,4980.70672,4306.7912,0.0,3700.0,1892.405,260.21,0.0,2800.644,4340.54,4958.7,0.0,1621.585,1022.6584
939549861,2,4,2,2.0,17055.6666666667,4263.91666666667,21608.9164,5402.2291,3335.0959,0.0,0.0,5570.035,233.82,0.0,2352.7055,1145.46,436.0,4812.0,3723.8,0.0
523903159,2,1,1,1.0,23250.0,23250.0,42524.94,42524.94,2866.46,2446.45,900.0,0.0,2177.8,0.0,800.21,2790.0,22332.0,2750.0,5262.02,200.0
586112860,2,2,1,2.0,12000.0,6000.0,6051.6148,3025.8074,1656.5281,0.0,800.0,3261.0,0.0,264.0867,0.0,0.0,0.0,0.0,0.0,70.0
183203635,2,1,1,1.0,3829.0,3829.0,3354.6527,3354.6527,221.6527,0.0,0.0,3133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
819238858,2,1,1,1.0,21913.3333333333,21913.3333333333,12958.3802,12958.3802,3420.4402,0.0,400.0,2443.5,1968.0,1428.9,381.04,800.0,1400.0,0.0,0.0,716.5
830084769,2,3,3,1.0,67237.3333333333,22412.4444444444,22694.1171,7564.7057,2710.0171,0.0,1420.0,3367.27,97.6,0.0,3827.26,1860.0,3658.15,0.0,3879.68,1874.14
91487465,2,1,1,1.0,7583.33333333333,7583.33333333333,8444.67,8444.67,1770.97,0.0,0.0,4047.0,19.2,562.9,519.6,815.0,660.0,0.0,0.0,50.0
937849695,2,1,1,1.0,17708.5,17708.5,16993.48,16993.48,3819.06,1987.47,0.0,8068.0,28.8,216.5,129.9,420.0,500.0,0.0,1623.75,200.0
265843321,2,1,1,1.0,7900.0,7900.0,5750.46,5750.46,2779.86,389.7,600.0,1807.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.2
710311860,2,1,1,1.0,49533.3333333333,49533.3333333333,23371.9014,23371.9014,1561.3114,1632.41,4300.0,7076.5,233.82,3600.0,1384.76,2247.0,600.0,0.0,736.1,0.0
603517084,2,2,2,1.0,33583.3333333333,16791.6666666667,17501.92,8750.96,9387.44,0.0,0.0,905.0,389.7,3500.0,467.64,835.0,800.0,0.0,952.6,264.54
416605051,2,2,2,1.0,64345.8333333333,32172.9166666667,14028.5795,7014.28975,4209.8858,0.0,0.0,2357.31,646.7667,0.0,1135.635,1067.5,2902.5,0.0,887.65,821.332
49926576,2,1,1,1.0,8333.33333333333,8333.33333333333,5046.7467,5046.7467,1846.745,0.0,220.0,2306.115,0.0,0.0,134.23,150.0,216.5,0.0,0.0,173.1567
55560566,2,2,2,1.0,21416.6666666667,10708.3333333333,14964.8327,7482.41635,215.1577,0.0,1200.0,8085.0,880.0,0.0,1366.115,2300.0,0.0,0.0,0.0,918.56
466668159,2,4,4,1.0,130964.333333333,32741.0833333333,57943.623,14485.90575,8569.503,4667.74,1000.0,25017.325,2110.0,934.96,1591.275,6374.385,3296.385,0.0,2836.15,1545.9
